0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
451.0,0.00023229267,0.42603597,0.49501044,0.0,0.12,0.74,0.135,0.005,0.0,0.00023435669,0.00029352686,0.00022320024,0.00024547498,0.0002202866,0.00022316366
254.0,0.00018525303,0.86810243,0.43821263,0.0,0.1,0.565,0.33,0.005,0.0,0.00023435669,0.00018079048,0.00023119038,0.00017606776,0.00019201303,0.00016754733
4.0,5.0146922e-05,0.16666667,0.3561827,0.0,0.0,0.225,0.725,0.045,0.005,0.00023435669,1.8784978e-06,8.473836e-05,2.6118307e-06,3.268182e-05,2.5620648e-06
641.0,0.00029162812,0.43874806,0.5198002,0.0,0.175,0.745,0.08,0.0,0.0,0.00023435669,0.00024153102,0.0003302655,0.00031836802,0.0003175567,0.0003119588
468.0,0.00023833806,0.43716028,0.49552792,0.0,0.135,0.73,0.135,0.0,0.0,0.00023435669,0.0003016173,0.00022978362,0.00025152278,0.00022696996,0.00022993662
816.0,0.00034756568,0.50848067,0.54041046,0.0,0.205,0.75,0.045,0.0,0.0,0.00023435669,0.0002677032,0.0004143505,0.00036251216,0.0003984463,0.00037429042
459.0,0.00026676717,0.42039368,0.51366645,0.0,0.1,0.85,0.05,0.0,0.0,0.00023435669,0.0003115433,0.00035542875,0.00029271026,0.0002818896,0.0002543754
488.0,0.00024386,0.41252902,0.49941465,0.0,0.145,0.74,0.115,0.0,0.0,0.00023435669,0.00029688643,0.00023706096,0.00025862825,0.00023548683,0.00023865158
418.0,0.00021350545,0.48572052,0.5026511,0.0,0.115,0.785,0.1,0.0,0.0,0.00023435669,0.00017707341,0.00025238437,0.00022068463,0.00022170662,0.0002116467
415.0,0.0020107233,0.06820325,0.49124828,0.0,0.125,0.725,0.145,0.005,0.0,0.00023435669,0.0104888,0.0002491915,0.004016929,0.00026127408,0.0016319425
492.0,0.0002451752,0.40226516,0.49947312,0.0,0.12,0.755,0.125,0.0,0.0,0.00023435669,0.00029529943,0.00023795242,0.00026087568,0.00023750697,0.00024118462
769.0,0.00032523068,0.5488425,0.53707665,0.0,0.175,0.785,0.04,0.0,0.0,0.00023435669,0.00022581565,0.00038406713,0.00033858602,0.00037519226,0.00035230414
500.0,0.00025167785,0.4000401,0.49982426,0.0,0.16,0.725,0.11,0.005,0.0,0.00023435669,0.0003178457,0.00024741405,0.0002676659,0.00024207002,0.00024553004
441.0,0.0020147976,0.070109256,0.49501044,0.0,0.115,0.755,0.125,0.005,0.0,0.00023435669,0.010472473,0.00025693717,0.004014922,0.0002711563,0.0016391382
615.0,0.000272519,0.63310826,0.51602757,0.0,0.105,0.81,0.085,0.0,0.0,0.00023435669,0.00029772348,0.00024399535,0.00028079332,0.0002732993,0.0002830455
427.0,0.00021541896,0.48781213,0.5020596,0.0,0.12,0.78,0.1,0.0,0.0,0.00023435669,0.0001776402,0.00024924576,0.00022418874,0.00022420875,0.00021527929
30.0,8.270151e-05,0.59770113,0.4165609,0.0,0.005,0.6,0.39,0.005,0.0,0.00023435669,0.00013335352,8.758118e-05,7.1428876e-05,4.5633056e-05,3.9517185e-05
9.0,4.0843486e-05,0.25,0.39048055,0.0,0.005,0.45,0.53,0.015,0.0,0.00023435669,7.704795e-06,1.490526e-05,6.8774193e-06,5.4216016e-06,5.403726e-06
620.0,0.00032670828,0.40105268,0.5295432,0.0,0.125,0.84,0.035,0.0,0.0,0.00023435669,0.00036280463,0.00043121196,0.00036450854,0.00035574488,0.00032786504
24.0,5.8420013e-05,0.5543478,0.45694086,0.0,0.01,0.76,0.225,0.005,0.0,0.00023435669,1.0507736e-05,9.77371e-05,1.1908695e-05,4.248965e-05,1.1839245e-05
344.0,0.00021538802,0.36805886,0.4888838,0.0,0.065,0.82,0.115,0.0,0.0,0.00023435669,0.00046435284,0.00017425299,0.00019296655,0.00016158864,0.00016754933
59.0,6.232377e-05,0.7223846,0.4222508,0.0,0.025,0.56,0.41,0.005,0.0,0.00023435669,3.4352437e-05,4.6977842e-05,2.9195695e-05,3.1967484e-05,2.8414874e-05
662.0,0.00030046972,0.44291586,0.51999027,0.0,0.15,0.765,0.085,0.0,0.0,0.00023435669,0.00025012682,0.0003423433,0.00032974032,0.00032861723,0.0003225585
12.0,4.1199357e-05,0.6212121,0.3919515,0.0,0.0,0.5,0.435,0.065,0.0,0.00023435669,2.4236404e-06,1.9505496e-05,5.4434813e-06,7.408152e-06,5.691028e-06
305.0,0.00020317831,0.8605479,0.4326572,0.0,0.095,0.53,0.37,0.005,0.0,0.00023435669,0.00021516501,0.00020488343,0.00021153298,0.00020294503,0.00020034534
486.0,0.00024128206,0.40487888,0.49760878,0.0,0.12,0.75,0.13,0.0,0.0,0.00023435669,0.00028407708,0.00023537053,0.00025694177,0.00023380335,0.00023758128
496.0,0.00022776201,0.47697133,0.50271034,0.0,0.1,0.795,0.105,0.0,0.0,0.00023435669,0.00021344323,0.00021997078,0.0002345046,0.00022855593,0.00023103654
473.0,0.0002378998,0.40750527,0.4977249,0.0,0.105,0.77,0.125,0.0,0.0,0.00023435669,0.00028565878,0.00023153286,0.0002529958,0.00022914528,0.00023245162
429.0,0.00021693844,0.4939111,0.5022369,0.0,0.11,0.785,0.105,0.0,0.0,0.00023435669,0.000178528,0.000253362,0.00022593695,0.00022634205,0.00021687735
424.0,0.00021637318,0.4824814,0.5029474,0.0,0.105,0.795,0.1,0.0,0.0,0.00023435669,0.00019110813,0.00024667935,0.0002253962,0.00022275667,0.00021451339
789.0,0.00031016453,0.5840137,0.52221817,0.0,0.185,0.71,0.105,0.0,0.0,0.00023435669,0.00021230149,0.00029150248,0.00032883053,0.00034097163,0.0003518114
72.0,6.963457e-05,0.7014867,0.43767312,0.0,0.035,0.665,0.295,0.005,0.0,0.00023435669,5.004441e-05,5.855964e-05,3.6530346e-05,3.9304272e-05,3.4909826e-05
91.0,7.282237e-05,0.83614165,0.454168,0.0,0.035,0.705,0.255,0.005,0.0,0.00023435669,3.1245225e-05,4.5651715e-05,5.4772558e-05,4.72977e-05,4.844942e-05
120.0,7.797175e-05,0.5719888,0.45757803,0.0,0.035,0.745,0.22,0.0,0.0,0.00023435669,3.2486154e-05,5.8075744e-05,4.7818892e-05,5.1923515e-05,5.2036004e-05
999.0,0.00048517494,0.418946,0.55713725,0.0,0.24,0.735,0.025,0.0,0.0,0.00023435669,0.0008207964,0.00050118763,0.00046921245,0.00048951077,0.00047365788
549.0,0.00022189772,0.74505734,0.47809032,0.0,0.135,0.645,0.22,0.0,0.0,0.00023435669,0.00016095403,0.00019549539,0.00021236003,0.00022407719,0.00023273632
263.0,0.00018044573,0.87713695,0.44207254,0.0,0.09,0.575,0.33,0.005,0.0,0.00023435669,0.00018638346,0.00017728707,0.00018195949,0.00017571847,0.00017308092
491.0,0.00022810932,0.4808097,0.50336283,0.0,0.105,0.795,0.1,0.0,0.0,0.00023435669,0.0002197449,0.00022901823,0.00023213109,0.00022672166,0.00022847946
488.0,0.0002255485,0.48034975,0.50360054,0.0,0.075,0.825,0.1,0.0,0.0,0.00023435669,0.00021059088,0.000225116,0.00022990558,0.0002251972,0.00022684214
56.0,5.9666185e-05,0.8454546,0.42443538,0.0,0.015,0.63,0.335,0.02,0.0,0.00023435669,2.5036237e-05,4.141975e-05,2.8088922e-05,2.9911089e-05,2.7286751e-05
11.0,3.905963e-05,0.7818182,0.38732523,0.0,0.005,0.425,0.545,0.025,0.0,0.00023435669,2.1214378e-06,5.1932043e-06,4.781549e-06,4.9563855e-06,4.9890277e-06
889.0,0.00042728303,0.3257304,0.5336502,0.0,0.225,0.685,0.09,0.0,0.0,0.00023435669,0.00042703524,0.0004893403,0.00048555672,0.00047947827,0.00047183165
110.0,8.3022715e-05,0.49324438,0.46602577,0.0,0.03,0.795,0.17,0.005,0.0,0.00023435669,5.7820846e-05,6.264953e-05,5.9799815e-05,5.614914e-05,5.5217904e-05
712.0,0.0003776249,0.32077783,0.51089823,0.0,0.21,0.655,0.13,0.005,0.0,0.00023435669,0.0004909179,0.00039754,0.0004251922,0.0003940137,0.00039455883
440.0,0.00022513667,0.42271692,0.49501044,0.0,0.13,0.725,0.145,0.0,0.0,0.00023435669,0.00027122253,0.0002172588,0.0002379086,0.00021413612,0.00021717549
539.0,0.00030575134,0.41820526,0.5120634,0.005,0.165,0.735,0.09,0.005,0.0,0.00023435669,0.00030960262,0.00039108872,0.00033071497,0.00033710332,0.00031294883
